,country_name,country_iso,region,subregion,latlng
47,Chile,CHL,Americas,South America,"[-30.0, -71.0]"
48,China,CHN,Asia,Eastern Asia,"[35.0, 105.0]"
49,Christmas Island,CXR,Oceania,Australia and New Zealand,"[-10.5, 105.66666666]"
50,Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,"[-12.5, 96.83333333]"
51,Colombia,COL,Americas,South America,"[4.0, -72.0]"
52,Comoros,COM,Africa,Eastern Africa,"[-12.16666666, 44.25]"
53,Congo,COG,Africa,Middle Africa,"[-1.0, 15.0]"
54,Congo (Democratic Republic of the),COD,Africa,Middle Africa,"[0.0, 25.0]"
55,Cook Islands,COK,Oceania,Polynesia,"[-21.23333333, -159.76666666]"
56,Costa Rica,CRI,Americas,Central America,"[10.0, -84.0]"
57,Croatia,HRV,Europe,Southern Europe,"[45.16666666, 15.5]"
58,Cuba,CUB,Americas,Caribbean,"[21.5, -80.0]"
59,Curaçao,CUW,Americas,Caribbean,"[12.116667, -68.933333]"
60,Cyprus,CYP,Europe,Southern Europe,"[35.0, 33.0]"
61,Czech Republic,CZE,Europe,Central Europe,"[49.75, 15.5]"
62,Denmark,DNK,Europe,Northern Europe,"[56.0, 10.0]"
63,Djibouti,DJI,Africa,Eastern Africa,"[11.5, 43.0]"
64,Dominica,DMA,Americas,Caribbean,"[15.41666666, -61.33333333]"
65,Dominican Republic,DOM,Americas,Caribbean,"[19.0, -70.66666666]"
66,Ecuador,ECU,Americas,South America,"[-2.0, -77.5]"
67,Egypt,EGY,Africa,Northern Africa,"[27.0, 30.0]"
68,El Salvador,SLV,Americas,Central America,"[13.83333333, -88.91666666]"
69,Equatorial Guinea,GNQ,Africa,Middle Africa,"[2.0, 10.0]"
70,Eritrea,ERI,Africa,Eastern Africa,"[15.0, 39.0]"
71,Estonia,EST,Europe,Northern Europe,"[59.0, 26.0]"
72,Ethiopia,ETH,Africa,Eastern Africa,"[8.0, 38.0]"
73,Falkland Islands (Malvinas),FLK,Americas,South America,"[-51.75, -59.0]"
74,Faroe Islands,FRO,Europe,Northern Europe,"[62.0, -7.0]"
75,Fiji,FJI,Oceania,Melanesia,"[-18.0, 175.0]"
76,Finland,FIN,Europe,Northern Europe,"[64.0, 26.0]"
77,France,FRA,Europe,Western Europe,"[46.0, 2.0]"
78,French Guiana,GUF,Americas,South America,"[4.0, -53.0]"
79,French Polynesia,PYF,Oceania,Polynesia,"[-15.0, -140.0]"
80,French Southern Territories,ATF,Africa,Southern Africa,"[-49.25, 69.167]"
81,Gabon,GAB,Africa,Middle Africa,"[-1.0, 11.75]"
82,Gambia,GMB,Africa,Western Africa,"[13.46666666, -16.56666666]"
83,Georgia,GEO,Asia,Western Asia,"[42.0, 43.5]"
84,Germany,DEU,Europe,Central Europe,"[51.0, 9.0]"
85,Ghana,GHA,Africa,Western Africa,"[8.0, -2.0]"
86,Gibraltar,GIB,Europe,Southern Europe,"[36.13333333, -5.35]"
87,Greece,GRC,Europe,Southern Europe,"[39.0, 22.0]"
88,Greenland,GRL,Americas,Northern America,"[72.0, -40.0]"
89,Grenada,GRD,Americas,Caribbean,"[12.11666666, -61.66666666]"
90,Guadeloupe,GLP,Americas,Caribbean,"[16.25, -61.583333]"
91,Guam,GUM,Oceania,Micronesia,"[13.46666666, 144.78333333]"
92,Guatemala,GTM,Americas,Central America,"[15.5, -90.25]"
93,Guernsey,GGY,Europe,Northern Europe,"[49.46666666, -2.58333333]"
94,Guinea,GIN,Africa,Western Africa,"[11.0, -10.0]"
95,Guinea-Bissau,GNB,Africa,Western Africa,"[12.0, -15.0]"
96,Guyana,GUY,Americas,South America,"[5.0, -59.0]"
97,Haiti,HTI,Americas,Caribbean,"[19.0, -72.41666666]"
98,Heard Island and McDonald Islands,HMD,Antarctic,Antarctic,"[-53.1, 72.51666666]"
99,Vatican City,VAT,Europe,Southern Europe,"[41.9, 12.45]"
100,Honduras,HND,Americas,Central America,"[15.0, -86.5]"
101,Hungary,HUN,Europe,Central Europe,"[47.0, 20.0]"
102,Hong Kong,HKG,Asia,Eastern Asia,"[22.25, 114.16666666]"
103,Iceland,ISL,Europe,Northern Europe,"[65.0, -18.0]"
104,India,IND,Asia,Southern Asia,"[20.0, 77.0]"
105,Indonesia,IDN,Asia,South-Eastern Asia,"[-5.0, 120.0]"
106,Ivory Coast,CIV,Africa,Western Africa,"[8.0, -5.0]"
107,Iran (Islamic Republic of),IRN,Asia,Southern Asia,"[32.0, 53.0]"
108,Iraq,IRQ,Asia,Western Asia,"[33.0, 44.0]"
109,Ireland,IRL,Europe,Northern Europe,"[53.0, -8.0]"
110,Isle of Man,IMN,Europe,Northern Europe,"[54.25, -4.5]"
111,Israel,ISR,Asia,Western Asia,"[31.5, 34.75]"
112,Italy,ITA,Europe,Southern Europe,"[42.83333333, 12.83333333]"
113,Jamaica,JAM,Americas,Caribbean,"[18.25, -77.5]"
114,Japan,JPN,Asia,Eastern Asia,"[36.0, 138.0]"
115,Jersey,JEY,Europe,Northern Europe,"[49.25, -2.16666666]"
